Nom de l'entreprise,E-mail,Téléphone,Description de l'activité (anglais),Secteur majeur BvD,Section NACE Rév. 2
PROXILOG,malherbe@malherbe.fr,+33 2 31 71 30 30,Engaged in the provision of truckload freight transportation and a full set of complementary offerings,Télécommunications,H - Transports et entreposage
HYLTEL,infohyltel@hyltel.fr,+33 2 23 46 00 46,,Autres services,J - Information et communication
ID VIDEO,idvideo@idvideo.com,+33 1 40 85 76 76,,Autres services,J - Information et communication
S C E P I A SCE CONSEIL ETUDE PRODUIT INFORMA APPLIQ,scepia@scepia.fr,+33 1 41 83 09 10,Engaged in computer programming activities and computer systems design services,"Edition, impression",J - Information et communication
ZELIG CONSULTANTS,bonjour@zelig-consultants.com,+33 3 28 04 01 26,,Autres services,J - Information et communication
TROIS CUBE,accueil@troiscube.com,+33 1 42 51 07 07,Operates as a communications agency engaged in the design and implementation of new applications and devices combining traditional media,Autres services,J - Information et communication
PRO-G,odette-legio@microtek.mc,,Engaged in computer programming activities and computer systems design services,Autres services,J - Information et communication
EDITAIR,editair@editair.fr,+33 1 39 56 39 56,,"Edition, impression",J - Information et communication
CLEAN SOFT,contact@cleansoft.fr,+33 4 42 32 78 78,,Autres services,J - Information et communication
CONSORTIUM IMMOBILIER,contact@lesclesdumidi.com,+33 4 99 53 02 72,,Autres services,J - Information et communication
CININTER,cininter@wanadoo.fr,+33 1 46 08 22 98,,Autres services,J - Information et communication
GOALAND,info@goaland.com,+33 1 40 10 19 99,,Autres services,J - Information et communication
CONCERTO,contact@concerto-sas.com,+33 4 72 68 63 63,,Autres services,J - Information et communication
FARGO,contact@agencefargo.com,+33 1 44 82 95 13,,"Edition, impression",J - Information et communication
OPEN X TREM,contact@openxtrem.com,+33 5 46 43 46 19,,Autres services,J - Information et communication
DELTA DB,deltadb@deltadb.com,+33 1 41 79 11 11,,Autres services,J - Information et communication
AXILOG SARL,axilog@axilog.com,+33 1 41 79 31 50,,"Edition, impression",J - Information et communication
ORGA DE TRANS ET SERVI INFOR,info@otsi.fr,+33 1 41 16 34 31,,Autres services,J - Information et communication
L'ERMITAGE,ap.ermitage@orange.fr,+33 1 64 22 72 51,,Autres services,J - Information et communication
EUROPEAN SOURCING,info@europeansourcing.com,+33 5 53 77 21 36,,Autres services,J - Information et communication
CENTRE D'ETUDE DE LOGICIEL,info@celog.fr,+33 1 43 59 60 61,Engaged as a computer expert center specializing in intangible evidence,Autres services,J - Information et communication
ORBA INFORMATIQUE,orba@orba.fr,+33 1 48 67 16 16,,Autres services,J - Information et communication
SOCIETE CASTELBRIANTAISE DE REALISATIONS INFOR- MATIQUES,contact@scrinfo.net,+33 2 40 81 19 18,Engaged in computer programming activities and computer systems design services,Autres services,J - Information et communication
AXE PARTNER,prod01@axepartner.com,+33 1 56 79 10 90,"Engaged in the operation of a business engineering design and integration consulting and information systems, and is dedicated to the field of planning and design health",Autres services,J - Information et communication
THE CODING MACHINE,contact@thecodingmachine.com,+33 1 71 18 39 72,,Autres services,J - Information et communication
UNION CENTRE INFORMATIQUE DE LAMBALLE,contact@cil-lamballe.com,+33 2 96 50 83 00,,Autres services,J - Information et communication
IMMUP,info@immup.fr,+33 4 42 54 64 45,,Autres services,J - Information et communication
NAOMIS,nantes@naomis.fr,+33 2 51 17 82 00,,Autres services,J - Information et communication
XILAN,contact@xilan.fr,+33 1 47 72 74 32,,Télécommunications,J - Information et communication
TMM SOFTWARE,athouret@tmm-software.com,+33 4 75 61 44 48,,Autres services,J - Information et communication
SOCIETE ETUDE ET GESTION APPLIQUEE,sega.info@wanadoo.fr,+33 5 61 99 52 20,"Engaged in the provision of data processing, hosting, and related services",Autres services,J - Information et communication
STATITEC,contact@statitec.com,+33 5 61 00 13 55,,Autres services,J - Information et communication
ESTEL,contactpro6tem@pro6tem-sas.com,+33 3 83 29 54 41,,Autres services,J - Information et communication
ATTHIS,support@atthis.com,+33 1 47 86 90 50,,Autres services,J - Information et communication
ARIADIS,info@ariadis.fr,+33 4 42 90 40 70,,Autres services,J - Information et communication
EXCEPT SA,fotmane@except.fr,+33 3 88 52 83 20,,Autres services,J - Information et communication
QUALITE INFORMATIQUE,accueil@qualite-info.fr,+33 2 96 40 16 10,,"Edition, impression",J - Information et communication
PRODUCTYS,contact@productys.com,+33 2 40 22 86 10,,Autres services,J - Information et communication
LE REGIONAL,le-regional@wanadoo.fr,,,"Edition, impression",J - Information et communication
SOLADIS CLINICAL STUDIES,contact@orgametrie.com,+33 3 28 09 94 70,,Autres services,J - Information et communication
GENERATION 5,enseignement@generation5.fr,+33 4 79 96 99 59,Publishers of educational multimedia,Autres services,J - Information et communication
CAPCIR,support@capcir.fr,+33 5 61 75 94 99,"Engaged in providing computer programming, data processing, and other computer related services",Autres services,J - Information et communication
ACTIVSOFT DEVELOPPEMENT,elemaire@activsoft.fr,+33 1 56 45 10 15,,Autres services,J - Information et communication
ANDALYS,contact@andalys.fr,+33 5 67 69 74 00,,Autres services,J - Information et communication
COSYTEC,info@cosytec.com,+33 1 60 19 37 38,,"Edition, impression",J - Information et communication
KEOSYS,administratif@keosys.com,+33 2 40 92 26 13,Nuclear medicine imaging solutions developer [source: Bureau van Dijk],"Edition, impression",J - Information et communication
ANIMEDIA,info@e-animedia.com,+33 1 56 93 29 29,,Autres services,J - Information et communication
ADELYCE,contact@adelyce.fr,+33 5 31 08 14 40,,Autres services,J - Information et communication
LB2M,info@ingenie.fr,+33 4 38 72 91 00,,"Edition, impression",J - Information et communication
UTOPIA ST SIMEON,bordeaux@cinemas-utopia.org,+33 5 56 52 00 03,,Autres services,J - Information et communication
PHILO EDITIONS,contact@philomag.com,+33 1 43 80 46 10,,"Edition, impression",J - Information et communication
FCI INFORMATIQUE,contact-rouen@alticap.com,+33 2 35 12 86 86,,Autres services,J - Information et communication
Y N PRODUCTIONS,ynprod@wanadoo.fr,+33 4 78 30 07 84,Engaged in motion picture and video production,Autres services,J - Information et communication
CONNECTHINGS,contact@connecthings.com,+33 1 45 23 26 98,"Engaged in offering a software platform for mastering end-to-end solutions; Provides an integrated solution based on a service platform, ranging from editing the tag to delivering the specific contents through the embedded application system within the mobile phone",Autres services,J - Information et communication
NUMERICA,contact@numericabfc.com,+33 3 81 31 26 80,,Autres services,J - Information et communication
OBLADY,contact@oblady.fr,,,Autres services,J - Information et communication
ASENIUM,contact@asenium.com,+33 1 78 09 61 22,Engaged in the provision of hardware and software solutions and consultancy services,Autres services,J - Information et communication
PRESTINFO SERVICES,contact@prestinfo-services.com,+33 4 78 23 35 06,,Autres services,J - Information et communication
MAYA PRESS,contact@mayapress.net,+33 1 40 35 00 86,Engaged in the publishing and printing of newspapers and periodicals,"Edition, impression",J - Information et communication
SARL ADS-COM,contact@ads-com.fr,+33 2 38 21 55 21,,Autres services,J - Information et communication
IN MEDIAS RES,contact@agenceinmediasres.fr,+33 4 72 84 00 19,,"Edition, impression",J - Information et communication
DAMARIS S.A.,info@damaris.fr,+33 1 78 64 51 51,The Company provides e-business services and solutions.,Autres services,J - Information et communication
PAPERSONG,info@paper-song.com,+33 9 82 21 94 92,,"Edition, impression",J - Information et communication
XD MOTION,bdentan@xd-motion.com,+33 1 30 66 05 34,,Autres services,J - Information et communication
DATACORP,contact@datacorp.fr,+33 4 93 95 87 10,"Engaged in the innovation in areas such as consulting, Information Technology (IT) services, and business packages","Edition, impression",J - Information et communication
YOUR PROD,contact@yourprod.com,+33 1 48 07 56 56,,Autres services,J - Information et communication
EURIS,info@euris.com,+33 1 42 44 27 27,,"Edition, impression",J - Information et communication
GUEZOULI INFORMATIQUE,contact@guezouli.com,+33 2 35 71 18 17,,Autres services,J - Information et communication
IXXO,ixxo@ixxo.fr,+33 4 69 73 21 13,,Autres services,J - Information et communication
LOCADRESSES,accueil@locadresses.com,+33 4 97 06 94 00,,Autres services,J - Information et communication
INFORMATIQUE BRETAGNE LOGICIELS,ibl@ibl-progiciel.com,+33 2 97 87 15 30,,Autres services,J - Information et communication
AQUILA INFORMATIQUE,info@aquilainfo.com,+33 2 40 85 34 34,,Autres services,J - Information et communication
SEGMENT ELITE,smelliti@segment-elite.com,,,Autres services,J - Information et communication
TYSOFT,actual.siege@groupeactual.eu,+33 2 43 01 20 34,,Autres services,J - Information et communication
DATRONIC,datronic@datronic.fr,+33 1 48 82 45 46,,"Edition, impression",J - Information et communication
SUDERIANE,contact@suderiane.fr,+33 9 66 86 36 87,,Autres services,J - Information et communication
ADEOSYS,contact@adeosys.fr,+33 2 97 26 76 10,,Autres services,J - Information et communication
AFRICA MEDIA,secretariat@africa1.com,+33 1 55 07 58 01,Engaged in the operation and management of radio and television stations,Autres services,J - Information et communication
JEHAN PASCAL SERVICES,secretariat@vetigraph.com,+33 1 42 78 65 89,"Engaged in the development of CAD/CAM solutions for the fashion, automotive, marine, aeronautical, home furnishing and other related industries","Edition, impression",J - Information et communication
SAASWEDO,sbpm@sbpm.fr,+33 1 58 05 25 25,Telecommunication Software-as-a-Service (SaaS) platform operator [source: Bureau van Dijk],Autres services,J - Information et communication
JETCONSO,jmc@jetconso.com,+33 1 42 37 25 85,,Autres services,J - Information et communication
MSI 2000,contacts@msi2000.fr,+33 2 32 81 65 65,,"Edition, impression",J - Information et communication
GERI COMMUNICATION,info@geri-communication.com,+33 5 57 96 45 45,,Autres services,J - Information et communication
SCASSI CONSEIL,contact@scassi.com,+33 5 61 54 50 02,,Autres services,J - Information et communication
ACI INFORMATIQUE,contact@aci-info.fr,+33 4 78 25 71 22,,Autres services,J - Information et communication
CHRONODISK,imre@chronodisk.com,+33 1 40 60 00 00,,Autres services,J - Information et communication
INFORMATIQUE GESTION ET CONTROLE,infos@fgc.fr,+33 4 94 18 54 00,"Engaged in providing computer programming, data processing, and other computer related services",Autres services,J - Information et communication
LA GAZETTE DE LA MANCHE,info@gazette-manche.fr,+33 2 33 79 30 80,Engaged in the publishing of periodicals,"Edition, impression",J - Information et communication
SOFTING,info@softing.fr,+33 1 61 04 46 20,Engaged in providing management solutions,Autres services,J - Information et communication
ARS TELECOM,t.perseghin@ars-telecoms.com,+33 3 89 62 93 80,,Autres services,J - Information et communication
FEERIK,press@feerik.com,+33 9 61 29 82 23,Engaged in providing computer related services,"Edition, impression",J - Information et communication
MEDIA'TIME,adv@mediatime.fr,+33 5 34 40 01 11,Advertising software developer [source: Bureau van Dijk],"Edition, impression",J - Information et communication
OXYGEM,contact@oxygem.tv,+33 3 20 68 90 80,E-marketing services [source: Bureau van Dijk],Autres services,J - Information et communication
SERVICE NETWORK ADMINISTRATION,contact@sna-administration.fr,+33 4 67 42 37 63,,Autres services,J - Information et communication
ORME,info@orme-toulouse.com,+33 5 61 00 25 70,,Autres services,J - Information et communication
PLAZA DESIGN,contact@mcnext.com,+33 1 49 70 81 33,,Autres services,J - Information et communication
COSI+,contact@cosiplus.com,+33 4 76 24 75 25,,Autres services,J - Information et communication
AEXPERTISE,admin@aexpertise.com,+33 4 91 25 10 25,,Télécommunications,J - Information et communication
HESPERIE CONSEIL,hdemeuse@hesperie-conseil.fr,+33 1 85 09 99 52,,Autres services,J - Information et communication
INF'O,info@edieyes.net,+33 2 41 37 05 99,,"Edition, impression",J - Information et communication
CLARILOG FRANCE,contact@clarilog.com,+33 3 23 65 65 95,,"Edition, impression",J - Information et communication
NET CONSULT INTERNATIONAL,net-consult@net-consult.fr,+33 3 44 15 37 50,,Autres services,J - Information et communication
THALIE,contact@thalie.fr,+33 1 45 75 53 37,,Autres services,J - Information et communication
DREAMCENTURY ENTERTAINMENT,contact@dreamcentury.com,+33 1 75 44 26 50,,Autres services,J - Information et communication
SOCIETE NOUVELLE DE PRESSE DU GARD,comptabilite.uzes@riccobono.fr,+33 4 66 22 58 19,,"Edition, impression",J - Information et communication
LES CAHIERS DESSINES,informations@libella.fr,+33 1 46 33 13 33,,"Edition, impression",J - Information et communication
CGX SYSTEM,contact@cgx-system.com,+33 5 63 37 82 90,,Autres services,J - Information et communication
EDITIONS GRANCHER,contact@grancher.com,+33 5 61 00 09 86,Engaged in the publishing of books,"Edition, impression",J - Information et communication
VOXINZEBOX,contact@voxinzebox.com,+33 4 91 95 55 40,Audio city tourist guide application developer [source: Bureau van Dijk],Autres services,J - Information et communication
SQUORING TECHNOLOGIES,contact@squoring.com,+33 5 81 34 63 97,Business intelligence software developer [source: Bureau van Dijk],"Edition, impression",J - Information et communication
LE ZERO ET L'INFINI,contact@zero-infini.com,+33 5 53 45 46 00,Engaged in the provision of computer programming services,Autres services,J - Information et communication
